[2020-07-23 02:39:55] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [12584960]
[2020-07-23 02:39:55] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[591365888]
[2020-07-23 02:39:55] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[599758592]
[2020-07-23 02:40:07] | CInterfaceManager.cpp-L4678: CamCtrl[2020009], U3V SDKVersion(1020009), DriverVersion(0)
[2020-07-23 02:40:08] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [12584960]
[2020-07-23 02:40:08] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[-436222208]
[2020-07-23 02:40:08] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[-444614912]
[2020-07-23 02:40:09] | CInterfaceManager.cpp-L4678: CamCtrl[2020009], U3V SDKVersion(1020009), DriverVersion(0)
[2020-07-23 02:40:10] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [12584960]
[2020-07-23 02:40:10] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[-1933596928]
